additional_info,amenities,check_in_date,check_out_date,city,country,crawl_date,description,highlight_value,hotel_star_rating,image_count,image_urls,internet,landmark,latitude,longitude,occupancy,pageurl,property_address,property_id,property_name,property_type,qts,query_time_stamp,room_price,room_types,search_term,service_value,similar_hotel,sitename,things_to_do,things_to_note,uniq_id,has_elevator,has_security,diaspora_score
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Pickup & Drop|Gym|Elevator|Parking|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"What should you know? Hotel India is an ideal accommodation option in the city. It offers 64 well-appointed rooms that are categorised as standard to executive rooms as well as suites. Various amenities such as attached bathrooms, mini bar, internet access, and a television are offered in the rooms. Apart from this, the hotel features a business centre, a yoga meditation centre, doctor-on-call, and airport transportation. It also has an in-house coffee shop and a restaurant. Various religious attractions such as Bharat Mata Temple, Gyan Kupor Well, Kashi Vishwanath Temple are close to the hotel.Why should you stay here? Hotel India offers guests impeccable hospitality and comforts while visiting Varanasi for business or leisure trips.",,,0.0,,,,25.2670002,83.0150375,1 Adult 1 Kid,https://www.stayzilla.com/stays/hotel-india-884?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Nadesar, Varanasi",884,Hotel India,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Single A/C Rooms,,Not Verified,(*)Ganga Monastery|Hotel East View|Hotel Genx Plaza,www.stayzilla.com,,"All taxes.|Complimentary Breakfast.|Complimentary WiFi.|Kindly Note:-|Above Tariff is not Valid on during festival time,Long weekends and Govt. holidays.",78461e934fe75218e6892d75c099a837,1,0,1
Acceptance Rate:100 percent|Response Time:< 6 hours,Parking|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,,,,,,,,25.2875938,83.001503,2 Adults 2 Kids,https://www.stayzilla.com/stays/sidhanth-paying-guest-house-47304?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Anandbagh, Varanasi",47304,Sidhanth Paying Guest House,House,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Double Non-A/C Rooms,,Not Verified,Hotel Santoor|Hotel Dwarika|Hotel Shiv Ganga|Yogini Rest House,www.stayzilla.com,,All taxes.|Complimentary Morning Tea.,b10e864720d6807686c9939032305500,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"Overlooking holy Ganges,next only to Munshi Ghat and Kasi Viswanathar Temple, Ganges Inn is an unique property that has a front desk, room service, telephone facility, Wi-Fi, travel desk, car parking and power backup. Car rental, doctor-on-call, and laundry service can also be arranged for our guests.We also operate a souvenir shop, home to a collection of silk sarees,fabrics hand spun by Indian artistic weavers. Lal Bahadur Shasthri International Airport(25 km) in addition to Varanasi Railway Station (4.5 km) serves Varanasi.",,,12.0,http://stay-imgs.stayzilla.com/resize/1200x800/33350/456502.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456488.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456480.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456482.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456484.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456486.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456490.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456492.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456494.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456496.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456498.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/33350/456500.jpg,,,25.3057384,83.0098419,1 Adult 2 Kids,https://www.stayzilla.com/stays/ganges-inn-33350?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Bangali Tola, Varanasi",33350,Ganges Inn,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Deluxe AC Single,,Verified,Puja Residency|Hotel Central Residency|Sanjay Motel|Hotel Surabhi International,www.stayzilla.com,,Complimentary Breakfast.|Kindly Note:|Extra Bed will not provide in Super Deluxe Category.,030fb8b9e2080160c8166a8a32df5ebd,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Parking|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"Located in Chetganj, close to Varanasi Junction and to many educational institutions and Mahatma Gandhi Kashi Vidyapeeth expound Brindha Homestay. Ours is two star budgeted property and we proffer spotless and fully furnished Double AC and Double Non-AC rooms with an attached bathroom facility. We have equipped this homestay with state-of-the-art facilities including storage cupboards, geyser, ample car parking space, and WiFi. Nearby famous attractions include Kashi Vishwanath Temple, Manikarma Ghat, Dashashwamegh ghat, Assi ghat, Ramnagar Fort, and Manmandir ghat. Travelling to any place around will be hassle-free from here. Excellent stay for affordable price that fits your pocket giving a very affluent stay.",,,14.0,http://stay-imgs.stayzilla.com/resize/1200x800/44460/524996.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/232556.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/232550.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/232552.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/232554.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524978.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524980.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524982.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524984.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524986.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524988.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524990.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524992.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/44460/524994.jpg,,,25.3210773,82.992218,2 Adults 2 Kids,https://www.stayzilla.com/stays/brinda-home-stay-44460?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Chetganj, Varanasi",44460,Brinda Home Stay,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Double Non-A/C Rooms,,Verified,Shreekunj Homestay,www.stayzilla.com,,All taxes.|Complimentary Breakfast.|Complimentary wifi,21a2d6431311b2d5d2969dc73274b7f4,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,Veg Only|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,,,,4.0,http://stay-imgs.stayzilla.com/resize/1200x800/90678/823340.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/90678/823342.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/90678/823336.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/90678/823338.jpg,,,25.2920704,83.0058975,2 Adults 2 Kids,https://www.stayzilla.com/stays/vireshwar-ashram-90678?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"13 Madhi Shivala Ghat, Varanasi",90678,Vireshwar Ashram,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Standard Non A/c Double Room,,Not Verified,Hotel Blue Diamond|Elvis Guest House,www.stayzilla.com,,Complimentary as an extra person doesnt chargeable.|Kindly Note:-|Single person doesnt allow.|Muslim person doesnt allow.,4d314789a9aa376eca1e9abdfa88e194,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|Gym|Parking|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"What should you know? Situated in the divine city of Varanasi, the Suryauday Haveli is an affordable option for pilgrims and tourists. The mansion-style hotel was originally built by the Royal Family of Nepal. Stay at Haveli starts with a boat ride upstream. The famous Kashi Vishwanath temple is in close proximity to the Haveli. Varanasi Bus Stand and Varanasi Junction Railway Station are within 7 km radius of the hotel. This hotel consists of well-furnished rooms with wooden flooring, Air conditioning, cable television, and Wi-Fi internet. The amenities provided by the hotel includes 24-hour room service, round-the-clock front desk, smoking areas, in-house restaurant, and airport transfer facility.Why should you stay here? Suryauday Haveli is a worthwhile accommodation option for pilgrims and visitors to enjoy and relax during their holiday.",,,11.0,http://stay-imgs.stayzilla.com/resize/1200x800/23645/101955.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101947.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101935.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101937.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101939.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101941.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101943.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101945.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101949.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101951.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/23645/101953.jpg,,,25.296505,83.0066605,2 Adults 2 Kids,https://www.stayzilla.com/stays/suryauday-haveli-23645?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Varanasi, Varanasi",23645,Suryauday Haveli,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Standard Room,,Not Verified,,www.stayzilla.com,,All taxes.|Continental Buffet Breakfast for two Persons|Kindly Note:|Extra Adult (Above 10yrs): INR 2000/Inclusive of Breakfast (Buffet/ Set-Menu) & Taxes.|Extra Child (06-10yrs): INR 1500/- Inclusive of Breakfast (Buffet/ Set Menu) & Taxes.|One child below 5years complimentary.,0e8f88ff8091035d599a8fabededfaf8,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"The hotel symbolises the heritage of Benaras in its complete look and feel with all the modern amenities to give a comfort of home away from home to our guests. The hotel has everything desired for a soothing and outstanding experience. The high standards of our services and peaceful ambience at an ideal location make it convenient for all genres of business meetings and accommodation, delivering a great value for money.Make your escape to the luxurious Hari Vilaas Varanasi, a boutique hotel boasting modern architecture, warm hospitality and a convenient location in the heart of the city main business district. Whether youre travelling on business or leisure, you will be delighted by the hotel spacious accomodations and top-notch services, including high-speed Internet access, business centre to have your business meetings in the serene and quite ambience of the Hotel with an In House Coffee Shop and a Multi Cusine Restaurant.Reserve your hotel room at the Hari Vilaas to experience an unbeatable level of service and comfort. The complete package of the hotel is an absolute delight as we firmly believe in the statement ATITHI DEVO BHAVA.... and extend warm welcome to our guests.",,,0.0,,,,25.3093166,82.9956284,1 Adult 2 Kids,https://www.stayzilla.com/stays/hari-vilaas-hotel-80422?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Gurubagh, Varanasi",80422,Hari Vilaas Hotel,Hotel,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Executive AC Single,,Not Verified,Hotel Park Inn|Hotel Aarthi|Blox Hostel|Hotel Janki International,www.stayzilla.com,,Complimentary Breakfast.|Complimentary Wifi.,a953228c83fd02d1687a40da9bd474ce,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"What should you know? Luxmi Guest House has 17 rooms that are categorized into Deluxe Double rooms and Standard Double rooms. Some of the facilities available at this hotel are 24 hours front desk assistance, foreign currency exchange, luggage storage, safety deposit box, newspaper, tour desk, room service, laundry service, free parking, and Wi-fi service. This hotel is approximately 400 meters from the Ganges River,800 meters from Manikarnika Ghat, and 1 km from Golden temple. It is 22 km from Lal bahadur Shastri Airport and 5 km from Varanasi railway station.Why should you stay here? The hotel is in proximity to tourist hotspots like Golden Temple and Ganges River. It is also relatively close to the airport and railway station, making the hotel ideal for travellers in transit or on vacation.",,,10.0,http://stay-imgs.stayzilla.com/resize/1200x800/48872/297670.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297660.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/287500.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/287502.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297656.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297658.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297662.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297664.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297666.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/48872/297668.jpg,,,25.3075371,83.0101013,2 Adults 2 Kids,https://www.stayzilla.com/stays/luxmi-guest-house-48872?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Dashaswamedh Ghat, Varanasi",48872,Luxmi Guest House,House,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Double Non-A/C Rooms,,Not Verified,Hotel Surya Residency|Hotel Sandeep|Alka Hotel|Pavitni Guest House,www.stayzilla.com,,All taxes.|Complimentary WiFi.,e852efb0a9fe219af1aace857f079c12,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,Free Breakfast|Newspaper,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,Varanasi like a local in a modern flat or a cozy rental room.,,,1.0,http://stay-imgs.stayzilla.com/resize/1200x800/107620/859678.jpg,,,25.296587,82.9868774,2 Adults 0 Kid,https://www.stayzilla.com/stays/alina-guest-house-107620?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Kakarmata, Varanasi",107620,Alina Guest House,House,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Non A/c Double,,Verified,Tiwari Guest House|K-Shree Paying Guest House|Shri Guest House|Shanthi Guest House,www.stayzilla.com,,,f13e9a8768807596a6632336e0072691,0,0,0
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Card Payment|Gym|AC,04-08-2016,05-08-2016,Varanasi,India,2016-07-20,"What should you know? Rudra Guest House is situated near the ghats in Varanasi. It lies 3.9 km and 4.5 km from the bus stand and railway station respectively. Double and deluxe rooms are provided for accommodation. Brown Bread Bakery, their in-house multi-cuisine restaurant serves a variety of food and snacks to the guests. The amenities provided include 24-hour room service, laundry, currency exchange, wifi, front desk, travel assistance, and doctor-on-call. Activities such as yoga, meditation, ayurvedic massages, and boat trips are also organized by the guest house on request. Why should you stay here? The guest house is overlooks the river Ganga. Also, it enjoys proximity to Dasaswamedh Ghat, shopping areas, and the market.",,,39.0,http://stay-imgs.stayzilla.com/resize/1200x800/16678/1016736.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113007.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113001.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113003.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113005.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113009.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113011.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113013.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113015.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/113017.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985602.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985604.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985606.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985608.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985610.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985612.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985614.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985616.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985618.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985620.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985622.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985624.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985626.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985628.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985630.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985632.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985634.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985636.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985638.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/985648.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003548.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003550.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003552.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003554.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003556.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003560.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003562.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003564.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/16678/1003566.jpg,,,25.3064747,83.0103073,2 Adults 2 Kids,https://www.stayzilla.com/stays/rudra-guest-house-16678?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Bengali Tola, Varanasi",16678,Rudra Guest House,House,2016-07-20 12:10:45 +0000,2016-07-20 12:10:45 +0000,,Double Non-A/C Rooms,,Verified,Shiv Ganga Guest House|Sankatha Guest House|Somit Paying Guest House|Pavitni Guest House,www.stayzilla.com,,All taxes|Complimentary wifi.|Complimentary Break Fast Only For Deluxe Room.,ed35ed8e2b9128e3077def8cd3c47e72,0,0,0
